game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
spatialgame1_v0,0,20,0.5,0.6,1.0,0.95,0.55,0.4,0.2,0.5,0.05,11.129007,646.1,1805.75,2451.85,12922,36115,49037
spatialgame1_v0,1,20,0.5,0.6,1.0,0.95,0.45,0.35,0.05,0.5,0.05,11.202289,661.0,1814.95,2475.95,13220,36299,49519
spatialgame1_v0,2,20,0.5,0.6,1.0,0.95,0.35,0.3,0.1,0.5,0.0,10.844034,677.0,1859.75,2536.75,13540,37195,50735
spatialgame1_v0,3,20,0.5,0.55,1.0,0.95,0.55,0.3,0.05,0.5,0.05,16.095736,695.0,2611.35,3306.35,13900,52227,66127
spatialgame1_v0,4,20,0.5,0.6,1.0,1.0,0.4,0.35,0.1,0.5,0.0,11.111206,715.0,1888.8,2603.8,14300,37776,52076
spatialgame2_v0,0,20,0.5,0.55,1.0,0.95,0.1,0.15,0.05,0.5,0.05,12.344479,652.0,2010.7,2662.7,13040,40214,53254
spatialgame2_v0,1,20,0.5,0.5,1.0,0.95,0.25,0.2,0.0,0.5,0.05,13.447474,666.0,2192.35,2858.35,13320,43847,57167
spatialgame2_v0,2,20,0.5,0.7,1.0,0.95,0.05,0.1,0.0,0.5,0.05,17.82849,682.0,2900.85,3582.85,13640,58017,71657
spatialgame2_v0,3,20,0.5,0.6,1.0,0.95,0.1,0.15,0.05,0.5,0.05,17.94564,700.0,2911.2,3611.2,14000,58224,72224
spatialgame2_v0,4,20,0.5,0.65,1.0,0.8,0.1,0.05,0.0,0.5,0.2,29.786154,720.0,4555.45,5275.45,14400,91109,105509
spatialgame3_v0,0,20,0.5,0.7,1.0,1.0,0.25,0.55,0.1,0.5,0.0,10.140494,650.0,1749.8,2399.8,13000,34996,47996
spatialgame3_v0,1,20,0.5,0.5,1.0,1.0,0.6,0.3,0.2,0.5,0.0,10.850176,664.0,1867.8,2531.8,13280,37356,50636
spatialgame3_v0,2,20,0.5,0.65,1.0,0.95,0.4,0.35,0.05,0.5,0.1,19.450606,680.0,3065.75,3745.75,13600,61315,74915
spatialgame3_v0,3,20,0.5,0.6,1.0,1.0,0.45,0.35,0.05,0.5,0.0,9.670069,698.0,1661.65,2359.65,13960,33233,47193
spatialgame3_v0,4,20,0.5,0.6,1.0,0.9,0.35,0.25,0.05,0.5,0.1,19.785661,718.0,3123.15,3841.15,14360,62463,76823
