thinking,game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
off,spatialgame1_v0,0,10,1.0,1.0,1.0,1.0,0.5,0.2,0.1,0.0,0.0,0.18754,648.1,30.0,678.1,6481,300,6781
off,spatialgame1_v0,1,10,1.0,1.0,1.0,1.0,0.6,0.2,0.1,0.0,0.0,0.185304,663.0,30.1,693.1,6630,301,6931
off,spatialgame1_v0,2,10,1.0,1.0,1.0,1.0,0.4,0.2,0.2,0.0,0.0,0.176205,679.0,28.5,707.5,6790,285,7075
off,spatialgame1_v0,3,10,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.177817,697.0,28.7,725.7,6970,287,7257
off,spatialgame1_v0,4,10,1.0,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.188752,717.0,30.7,747.7,7170,307,7477
off,spatialgame2_v0,0,10,1.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,0.154353,654.0,24.0,678.0,6540,240,6780
off,spatialgame2_v0,1,10,1.0,1.0,1.0,1.0,0.4,0.1,0.0,0.0,0.0,0.178697,668.0,28.9,696.9,6680,289,6969
off,spatialgame2_v0,2,10,1.0,1.0,1.0,1.0,0.1,0.2,0.0,0.0,0.0,0.171138,684.0,27.6,711.6,6840,276,7116
off,spatialgame2_v0,3,10,1.0,1.0,1.0,1.0,0.1,0.3,0.1,0.0,0.0,0.178168,702.0,29.1,731.1,7020,291,7311
off,spatialgame2_v0,4,10,1.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.0,0.144988,722.0,22.3,744.3,7220,223,7443
off,spatialgame3_v0,0,10,1.0,1.0,1.0,1.0,0.3,0.5,0.2,0.0,0.0,0.191873,652.0,31.1,683.1,6520,311,6831
off,spatialgame3_v0,1,10,1.0,1.0,1.0,1.0,0.7,0.3,0.3,0.0,0.0,0.18914,666.0,31.1,697.1,6660,311,6971
off,spatialgame3_v0,2,10,1.0,1.0,1.0,1.0,0.5,0.2,0.0,0.0,0.0,0.200261,682.0,33.2,715.2,6820,332,7152
off,spatialgame3_v0,3,10,1.0,1.0,1.0,1.0,0.4,0.1,0.0,0.0,0.0,0.154272,700.0,24.5,724.5,7000,245,7245
off,spatialgame3_v0,4,10,1.0,1.0,1.0,1.0,0.3,0.3,0.1,0.0,0.0,0.174705,720.0,27.9,747.9,7200,279,7479
on,spatialgame1_v0,0,10,0.0,0.2,1.0,0.9,0.6,0.6,0.3,1.0,0.1,22.070473,644.1,3581.5,4225.6,6441,35815,42256
on,spatialgame1_v0,1,10,0.0,0.2,1.0,0.9,0.3,0.5,0.0,1.0,0.1,22.219273,659.0,3599.8,4258.8,6590,35998,42588
on,spatialgame1_v0,2,10,0.0,0.2,1.0,0.9,0.3,0.4,0.0,1.0,0.0,21.511862,675.0,3691.0,4366.0,6750,36910,43660
on,spatialgame1_v0,3,10,0.0,0.1,1.0,0.9,0.4,0.6,0.1,1.0,0.1,32.013655,693.0,5194.0,5887.0,6930,51940,58870
on,spatialgame1_v0,4,10,0.0,0.2,1.0,1.0,0.6,0.5,0.2,1.0,0.0,22.03366,713.0,3746.9,4459.9,7130,37469,44599
on,spatialgame2_v0,0,10,0.0,0.1,1.0,0.9,0.1,0.2,0.1,1.0,0.1,24.534604,650.0,3997.4,4647.4,6500,39974,46474
on,spatialgame2_v0,1,10,0.0,0.0,1.0,0.9,0.1,0.3,0.0,1.0,0.1,26.716252,664.0,4355.8,5019.8,6640,43558,50198
on,spatialgame2_v0,2,10,0.0,0.4,1.0,0.9,0.0,0.0,0.0,1.0,0.1,35.485841,680.0,5774.1,6454.1,6800,57741,64541
on,spatialgame2_v0,3,10,0.0,0.2,1.0,0.9,0.1,0.0,0.0,1.0,0.1,35.713111,698.0,5793.3,6491.3,6980,57933,64913
on,spatialgame2_v0,4,10,0.0,0.3,1.0,0.6,0.2,0.0,0.0,1.0,0.4,59.427319,718.0,9088.6,9806.6,7180,90886,98066
on,spatialgame3_v0,0,10,0.0,0.4,1.0,1.0,0.2,0.6,0.0,1.0,0.0,20.089115,648.0,3468.5,4116.5,6480,34685,41165
on,spatialgame3_v0,1,10,0.0,0.0,1.0,1.0,0.5,0.3,0.1,1.0,0.0,21.511212,662.0,3704.5,4366.5,6620,37045,43665
on,spatialgame3_v0,2,10,0.0,0.3,1.0,0.9,0.3,0.5,0.1,1.0,0.2,38.700951,678.0,6098.3,6776.3,6780,60983,67763
on,spatialgame3_v0,3,10,0.0,0.2,1.0,1.0,0.5,0.6,0.1,1.0,0.0,19.185865,696.0,3298.8,3994.8,6960,32988,39948
on,spatialgame3_v0,4,10,0.0,0.2,1.0,0.8,0.4,0.2,0.0,1.0,0.2,39.396617,716.0,6218.4,6934.4,7160,62184,69344
