game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
spatialgame1_v0,0,20,0.5,0.85,1.0,0.85,0.85,0.55,0.55,0.5,0.05,29.270348,649.1,1222.05,1871.15,12982,24441,37423
spatialgame1_v0,1,20,0.5,0.9,1.0,0.9,0.9,0.4,0.4,0.5,0.0,18.901028,664.0,835.5,1499.5,13280,16710,29990
spatialgame1_v0,2,20,0.5,0.85,1.0,0.85,0.8,0.65,0.6,0.5,0.0,22.978231,680.0,1059.15,1739.15,13600,21183,34783
spatialgame1_v0,3,20,0.5,0.9,1.0,0.9,0.8,0.45,0.4,0.5,0.0,30.646248,698.0,1292.7,1990.7,13960,25854,39814
spatialgame1_v0,4,20,0.5,0.9,1.0,0.9,0.9,0.5,0.5,0.5,0.0,39.87182,718.0,1767.7,2485.7,14360,35354,49714
spatialgame2_v0,0,20,0.5,0.7,1.0,0.7,0.15,0.15,0.05,0.5,0.05,42.848983,664.0,1920.9,2584.9,13280,38418,51698
spatialgame2_v0,1,20,0.5,0.7,1.0,0.7,0.35,0.15,0.1,0.5,0.0,40.699479,678.0,1834.3,2512.3,13560,36686,50246
spatialgame2_v0,2,20,0.5,0.75,1.0,0.75,0.2,0.1,0.1,0.5,0.1,79.834806,694.0,3527.2,4221.2,13880,70544,84424
spatialgame2_v0,3,20,0.5,0.7,1.0,0.7,0.15,0.15,0.05,0.5,0.05,50.452803,712.0,2100.4,2812.4,14240,42008,56248
spatialgame2_v0,4,20,0.5,0.75,1.0,0.75,0.15,0.15,0.0,0.5,0.1,53.325275,732.0,2355.2,3087.2,14640,47104,61744
spatialgame3_v0,0,20,0.5,0.85,1.0,0.85,0.8,0.45,0.45,0.5,0.05,41.798452,677.0,1906.8,2583.8,13540,38136,51676
spatialgame3_v0,1,20,0.5,0.8,1.0,0.8,0.75,0.5,0.5,0.5,0.15,79.545995,691.0,3440.1,4131.1,13820,68802,82622
spatialgame3_v0,2,20,0.5,0.7,1.0,0.7,0.55,0.4,0.35,0.5,0.15,92.439706,707.0,3884.95,4591.95,14140,77699,91839
spatialgame3_v0,3,20,0.5,0.75,1.0,0.75,0.7,0.4,0.35,0.5,0.1,72.242861,725.0,3121.6,3846.6,14500,62432,76932
spatialgame3_v0,4,20,0.5,0.75,1.0,0.75,0.75,0.2,0.2,0.5,0.0,51.202701,745.0,2313.55,3058.55,14900,46271,61171
