thinking,game,level,cases,raw_contract_rate,sanitized_contract_rate,action_parse_rate,position_parse_rate,row_match_rate,col_match_rate,exact_position_rate,had_think_rate,residual_think_rate,mean_latency_seconds,mean_input_tokens,mean_output_tokens,mean_total_tokens,total_input_tokens,total_output_tokens,total_tokens
off,spatialgame1_v0,0,10,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.595841,651.1,24.0,675.1,6511,240,6751
off,spatialgame1_v0,1,10,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.608771,666.0,24.1,690.1,6660,241,6901
off,spatialgame1_v0,2,10,1.0,1.0,1.0,1.0,0.9,0.6,0.5,0.0,0.0,0.592935,682.0,24.4,706.4,6820,244,7064
off,spatialgame1_v0,3,10,1.0,1.0,1.0,1.0,1.0,0.3,0.3,0.0,0.0,0.701794,700.0,24.0,724.0,7000,240,7240
off,spatialgame1_v0,4,10,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.0,0.0,0.603516,720.0,24.0,744.0,7200,240,7440
off,spatialgame2_v0,0,10,1.0,1.0,1.0,1.0,0.1,0.2,0.0,0.0,0.0,0.633527,666.0,25.0,691.0,6660,250,6910
off,spatialgame2_v0,1,10,1.0,1.0,1.0,1.0,0.4,0.1,0.1,0.0,0.0,0.61957,680.0,25.3,705.3,6800,253,7053
off,spatialgame2_v0,2,10,1.0,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.598504,696.0,24.5,720.5,6960,245,7205
off,spatialgame2_v0,3,10,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.613371,714.0,24.9,738.9,7140,249,7389
off,spatialgame2_v0,4,10,1.0,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.589291,734.0,24.1,758.1,7340,241,7581
off,spatialgame3_v0,0,10,1.0,1.0,1.0,1.0,0.9,0.2,0.2,0.0,0.0,0.654166,679.0,27.1,706.1,6790,271,7061
off,spatialgame3_v0,1,10,1.0,1.0,1.0,1.0,0.9,0.4,0.4,0.0,0.0,0.682253,693.0,27.0,720.0,6930,270,7200
off,spatialgame3_v0,2,10,1.0,1.0,1.0,1.0,0.7,0.5,0.4,0.0,0.0,0.670325,709.0,26.1,735.1,7090,261,7351
off,spatialgame3_v0,3,10,1.0,1.0,1.0,1.0,0.9,0.3,0.2,0.0,0.0,0.670895,727.0,26.1,753.1,7270,261,7531
off,spatialgame3_v0,4,10,1.0,1.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.632443,747.0,26.0,773.0,7470,260,7730
on,spatialgame1_v0,0,10,0.0,0.7,1.0,0.7,0.7,0.7,0.7,1.0,0.1,57.944856,647.1,2420.1,3067.2,6471,24201,30672
on,spatialgame1_v0,1,10,0.0,0.8,1.0,0.8,0.8,0.6,0.6,1.0,0.0,37.193285,662.0,1646.9,2308.9,6620,16469,23089
on,spatialgame1_v0,2,10,0.0,0.7,1.0,0.7,0.7,0.7,0.7,1.0,0.0,45.363528,678.0,2093.9,2771.9,6780,20939,27719
on,spatialgame1_v0,3,10,0.0,0.8,1.0,0.8,0.6,0.6,0.5,1.0,0.0,60.590702,696.0,2561.4,3257.4,6960,25614,32574
on,spatialgame1_v0,4,10,0.0,0.8,1.0,0.8,0.8,0.6,0.6,1.0,0.0,79.140124,716.0,3511.4,4227.4,7160,35114,42274
on,spatialgame2_v0,0,10,0.0,0.4,1.0,0.4,0.2,0.1,0.1,1.0,0.1,85.06444,662.0,3816.8,4478.8,6620,38168,44788
on,spatialgame2_v0,1,10,0.0,0.4,1.0,0.4,0.3,0.2,0.1,1.0,0.0,80.779388,676.0,3643.3,4319.3,6760,36433,43193
on,spatialgame2_v0,2,10,0.0,0.5,1.0,0.5,0.3,0.2,0.2,1.0,0.2,159.071108,692.0,7029.9,7721.9,6920,70299,77219
on,spatialgame2_v0,3,10,0.0,0.4,1.0,0.4,0.1,0.3,0.1,1.0,0.1,100.292236,710.0,4175.9,4885.9,7100,41759,48859
on,spatialgame2_v0,4,10,0.0,0.5,1.0,0.5,0.1,0.1,0.0,1.0,0.2,106.061259,730.0,4686.3,5416.3,7300,46863,54163
on,spatialgame3_v0,0,10,0.0,0.7,1.0,0.7,0.7,0.7,0.7,1.0,0.1,82.942739,675.0,3786.5,4461.5,6750,37865,44615
on,spatialgame3_v0,1,10,0.0,0.6,1.0,0.6,0.6,0.6,0.6,1.0,0.3,158.409737,689.0,6853.2,7542.2,6890,68532,75422
on,spatialgame3_v0,2,10,0.0,0.4,1.0,0.4,0.4,0.3,0.3,1.0,0.3,184.209088,705.0,7743.8,8448.8,7050,77438,84488
on,spatialgame3_v0,3,10,0.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.2,143.814827,723.0,6217.1,6940.1,7230,62171,69401
on,spatialgame3_v0,4,10,0.0,0.5,1.0,0.5,0.5,0.3,0.3,1.0,0.0,101.772959,743.0,4601.1,5344.1,7430,46011,53441
